id	concept	statement	your_centrality_1_to_5
25b	stopping rules	I will inspect my p-values continuously until the pre-determined stopping rule is met, because I want to ensure my final conclusion remains unbiased and valid.	
26b	one-tailed vs two-tailed tests	I am conducting a one-tailed test because I want to maintain a standard alpha of point-zero-five for both the lower and upper tails of distribution.	
52a	weighting survey samples	I implemented non-response weighting in this dataset to minimize bias by assigning larger values to cases that represent undercounted groups within the target population.	
23b	clustered data	I am ignoring the group-level variance in my clustered data because using simple OLS regression assumes that all observations are dependent rather than naturally grouped.	
34b	model selection criteria	I compared my models using cross-validation scores rather than R-squared because I need to assess complexity rather than just how well the model fits the training set.	
4a	temporal ordering in panel data	To avoid simultaneity bias, I must maintain proper temporal ordering in my panel data so that the treatment precedes the outcome in every unit.	
5a	temporal ordering in panel data	Because I preserved the temporal ordering in my panel data, my estimates are not contaminated by reverse causality where future events affect past predictors.	
37b	measurement error attenuation	My estimate for this effect is likely larger than the true value, as measurement error attenuation in these noisy predictors systematically drags the slope toward zero.	
3a	sensitivity and specificity	Since we need to minimize false negatives in this safety screening, I am setting the cutoff to prioritize high sensitivity over high specificity.	
4b	temporal ordering in panel data	To avoid simultaneity bias, I must maintain proper temporal ordering in my panel data so that the outcome precedes the treatment in every unit.	
15b	ecological fallacy	It would be an ecological fallacy for me to assume individual voters favor this tax policy just because their home district voted against it.	
20a	prior probability	Because the prior probability of my hypothesis is quite high, I feel more confident that this significant p-value reflects a true effect rather than noise.	
2a	outlier handling	My boxplot shows clear skewness, so I am choosing to use the median instead of the mean to mitigate the impact of outliers.	
34a	model selection criteria	I compared my models using cross-validation scores rather than R-squared because I need to assess generalizability rather than just how well the model fits the training set.	
15a	ecological fallacy	It would be an ecological fallacy for me to assume individual voters favor this tax policy just because their home district voted for it.	
23a	clustered data	I am ignoring the group-level variance in my clustered data because using simple OLS regression assumes that all observations are independent rather than naturally grouped.	
55a	floor and ceiling effects	I am adjusting the scale to avoid a ceiling effect, ensuring the measure can distinguish among high-performing users who are currently reaching the top score.	
5b	temporal ordering in panel data	Because I preserved the temporal ordering in my panel data, my estimates are not contaminated by reverse causality where past events affect future predictors.	
13b	type I and type II errors	My study is underpowered, so I am very concerned that I might commit a type I error and fail to detect a truly present effect.	
32a	link functions	If I change the link function to identity, the model will treat the dependent variable as continuous and perform a standard ordinary least squares regression on outcomes.	
6b	interaction effects	Adding interaction effects to my model accounts for the additive relationship where the combination of high dosage and specific genetics creates a unique result on patient recovery.	
27a	shrinkage estimators	Since my sample size is quite small, I will use a lasso estimator to pull less important coefficients toward zero and improve my prediction accuracy overall.	
41b	confounding variables	I need to stratify by gender because it is a potential confounding variable that might otherwise enhance the observed association between my two predictors.	
13a	type I and type II errors	My study is underpowered, so I am very concerned that I might commit a type II error and fail to detect a truly present effect.	
54b	floor and ceiling effects	I worry about a ceiling effect in this survey, where most participants picked the minimum value, masking any real differences in their actual satisfaction levels.	
52b	weighting survey samples	I implemented non-response weighting in this dataset to minimize bias by assigning larger values to cases that represent overcounted groups within the target population.	
9a	type I and type II errors	I must set my alpha level strictly at point-zero-five because I want to minimize the risk of making a type I error in my conclusion.	
20b	prior probability	Because the prior probability of my hypothesis is quite low, I feel more confident that this significant p-value reflects a true effect rather than noise.	
27b	shrinkage estimators	Since my sample size is quite small, I will use a lasso estimator to pull less important coefficients toward infinity and improve my prediction accuracy overall.	
6a	interaction effects	Adding interaction effects to my model accounts for the non-additive relationship where the combination of high dosage and specific genetics creates a unique result on patient recovery.	
2b	outlier handling	My boxplot shows clear skewness, so I am choosing to use the mean instead of the median to mitigate the impact of outliers.	
54a	floor and ceiling effects	I worry about a ceiling effect in this survey, where most participants picked the maximum value, masking any real differences in their actual satisfaction levels.	
55b	floor and ceiling effects	I am adjusting the scale to avoid a ceiling effect, ensuring the measure can distinguish among low-performing users who are currently reaching the top score.	
41a	confounding variables	I need to stratify by gender because it is a potential confounding variable that might otherwise distort the observed association between my two predictors.	
26a	one-tailed vs two-tailed tests	I am conducting a two-tailed test because I want to maintain a standard alpha of point-zero-five for both the lower and upper tails of distribution.	
25a	stopping rules	I will not inspect my p-values until the pre-determined stopping rule is met, because I want to ensure my final conclusion remains unbiased and valid.	
9b	type I and type II errors	I must set my alpha level strictly at point-zero-five because I want to minimize the risk of making a type II error in my conclusion.	
32b	link functions	If I change the link function to identity, the model will treat the dependent variable as categorical and perform a standard ordinary least squares regression on outcomes.	
3b	sensitivity and specificity	Since we need to minimize false negatives in this safety screening, I am setting the cutoff to prioritize high specificity over high sensitivity.	
37a	measurement error attenuation	My estimate for this effect is likely smaller than the true value, as measurement error attenuation in these noisy predictors systematically drags the slope toward zero.	
